trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
163,False,"{'a': 0.09716429944139751, 'e': 0.19432859888279502}",25,6,10.727122046477216,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
164,False,"{'a': 0.09619265644698353, 'e': 0.19238531289396707}",20,9,19.225282692373916,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.0952307298825137, 'e': 0.1904614597650274}",20,10,-24.81282267984433,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
166,False,"{'a': 0.09427842258368856, 'e': 0.1885568451673771}",20,0,-64.68674770782329,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 2}",0
167,False,"{'a': 0.09333563835785168, 'e': 0.18667127671570335}",20,0,-0.23205831351976203,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
168,False,"{'a': 0.09240228197427315, 'e': 0.1848045639485463}",20,12,-22.646530348634776,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
169,False,"{'a': 0.09147825915453042, 'e': 0.18295651830906084}",25,0,-18.908284766536152,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
170,False,"{'a': 0.09056347656298512, 'e': 0.18112695312597024}",25,1,29.446121293742475,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.08965784179735527, 'e': 0.17931568359471053}",30,18,-22.399608194321114,"{0: 10, 1: 0, 2: 0, 3: 2, 4: 0}",1
172,False,"{'a': 0.08876126337938171, 'e': 0.17752252675876343}",25,19,10.43059922924921,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.0878736507455879, 'e': 0.1757473014911758}",20,8,19.494795107231866,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.086994914238132, 'e': 0.173989828476264}",20,6,14.002259983128551,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
