trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
242,True,"{'a': 0.5, 'e': 13.735723585077926}",30,0,-146.08398790861213,"{0: 19, 1: 4, 2: 3, 3: 2, 4: 2}",0
243,True,"{'a': 0.5, 'e': 13.873769902129904}",30,0,-200.97826618715393,"{0: 17, 1: 5, 2: 4, 3: 0, 4: 4}",0
244,True,"{'a': 0.5, 'e': 14.013203607733615}",20,14,0.8517212143860049,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
245,True,"{'a': 0.5, 'e': 14.1540386453758}",20,0,-216.6310089721865,"{0: 9, 1: 3, 2: 3, 3: 1, 4: 4}",0
246,True,"{'a': 0.5, 'e': 14.296289098677603}",30,0,-101.58290132918269,"{0: 20, 1: 2, 2: 7, 3: 0, 4: 1}",0
247,True,"{'a': 0.5, 'e': 14.43996919280288}",30,0,-122.82983982856244,"{0: 21, 1: 5, 2: 1, 3: 0, 4: 3}",0
248,True,"{'a': 0.5, 'e': 14.585093295880792}",20,0,-178.36966710180337,"{0: 8, 1: 4, 2: 3, 3: 3, 4: 2}",0
249,True,"{'a': 0.5, 'e': 14.73167592044257}",25,0,-118.31003955114927,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
250,True,"{'a': 0.5, 'e': 14.879731724872837}",20,0,-134.8856382107907,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
251,True,"{'a': 0.5, 'e': 15.029275514875401}",20,0,-97.8371317288727,"{0: 10, 1: 3, 2: 5, 3: 2, 4: 0}",0
252,True,"{'a': 0.5, 'e': 15.1803222449539}",25,0,-92.64662840333712,"{0: 14, 1: 3, 2: 7, 3: 1, 4: 0}",0
253,True,"{'a': 0.5, 'e': 15.332887019907195}",35,0,-200.1395713877987,"{0: 21, 1: 2, 2: 9, 3: 0, 4: 3}",0
254,True,"{'a': 0.5, 'e': 15.486985096339938}",25,0,-181.91547557683654,"{0: 12, 1: 5, 2: 5, 3: 0, 4: 3}",0
255,True,"{'a': 0.5, 'e': 15.642631884188171}",25,0,-176.68067312212037,"{0: 13, 1: 2, 2: 6, 3: 2, 4: 2}",0
256,True,"{'a': 0.5, 'e': 15.799842948260395}",20,0,-118.38769515260047,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
257,True,"{'a': 0.5, 'e': 15.958634009794029}",25,0,-183.38935118244441,"{0: 16, 1: 0, 2: 4, 3: 2, 4: 3}",0
258,True,"{'a': 0.5, 'e': 16.119020948027543}",20,0,-105.22495639738369,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
259,True,"{'a': 0.5, 'e': 16.28101980178843}",20,0,-76.48057913840886,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
260,True,"{'a': 0.5, 'e': 16.444646771097048}",25,3,-103.87675498863058,"{0: 13, 1: 2, 2: 5, 3: 1, 4: 1}",1
261,True,"{'a': 0.5, 'e': 16.6099182187867}",30,0,-165.80733063576207,"{0: 18, 1: 1, 2: 8, 3: 1, 4: 2}",0
262,True,"{'a': 0.5, 'e': 16.776850672139872}",30,0,-77.81071622669782,"{0: 19, 1: 3, 2: 7, 3: 1, 4: 0}",0
263,True,"{'a': 0.5, 'e': 16.94546082454102}",20,0,-134.6950413369255,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 2}",0
264,True,"{'a': 0.5, 'e': 17.115765537145876}",25,0,-163.0466505847009,"{0: 11, 1: 4, 2: 6, 3: 3, 4: 1}",0
265,True,"{'a': 0.5, 'e': 17.28778184056764}",30,0,-124.89257638967794,"{0: 19, 1: 3, 2: 5, 3: 2, 4: 1}",0
266,True,"{'a': 0.5, 'e': 17.46152693657999}",20,0,-185.2166394226706,"{0: 11, 1: 1, 2: 3, 3: 2, 4: 3}",0
